category,glass_name,nasal_engraving,glass_index,material,glass_supplier_id,glass_supplier_name,image_engraving
Verres progressifs,ETEREA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.5,ORG,70,DIVEL FRANCE,datalake/staging/media\web_1807-nas-rond.tif.jpg
Verres Progressifs Made In France,Perception,PER,1.50 / 1.60 / 1.67,ORG,1488,HEPHILENS,
Verres Progressifs Made In France,Perception 770,PER7,1.5 / 1.60 / 1.67 / 1.74,ORG,1488,HEPHILENS,
Verres Progressifs Made In France,Perception 770,PER7,1.59,POLY,1488,HEPHILENS,
Verres Progressifs Made In France,Myoshield,MYO,1.59,POLY,1488,HEPHILENS,
Verres Progressifs Made In France,Myoshield,MYO,1.5 / 1.60 / 1.67 / 1.74,ORG,1488,HEPHILENS,
Verres Progressifs Made In France,Perception,PER,1.59,POLY,1488,HEPHILENS,
Verres Freinateur de Myopie,Myoshield,MYO,1.59,POLY,1488,HEPHILENS,
Verres Freinateur de Myopie,Myoshield,MYO,1.5 / 1.60 / 1.67 / 1.74,ORG,1488,HEPHILENS,
Verres Freinateur de Myopie,Perception,PER,1.59,POLY,1488,HEPHILENS,
Verres freinateur de myopie,Myoshield,MYO,1.5 / 1.60 / 1.67 / 1.74,ORG,1488,HEPHILENS,
Verres freinateur de myopie,Perception,PER,1.59,POLY,1488,HEPHILENS,
Verres progressifs Made In France,Perception,PER,1.59,POLY,1488,HEPHILENS,
Uncategorized,Camber Freestyle,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,6",,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,67",,1.67,MR10,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,5",,1.5,CR39,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,6",,1.61,MR8,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,67",,1.67,MR10,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,5",,1.5,CR39,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,6",,1.61,MR8,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,67",,1.67,MR10,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",Proximit,,1.5,CR39,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",Proximit,,1.61,MR8,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",Proximit,,1.67,MR10,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,,1.5,ORG,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,,1.61,MR8,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,,1.67,MR10,2399,ADN OPTIS,
"Double foyer segment rond ""Free Form Full Back Side"" Diamètre pastille VP de 25 ou 100mm ""Pastille surfacée et non collée""","Bifocal 1,74",,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" individualisé  3 niveaux d'individualisation","Morpho 1,74",,1.74,MR174,2399,ADN OPTIS,
"Progressifs ""Free Form Full Back Side"" personnalisé 6 niveaux de personnalisation","Sensation 1,74",,1.74,MR174,2399,ADN OPTIS,
"Verres de Proximité ""Free Form Full Back Side""",Proximit,,1.74,MR174,2399,ADN OPTIS,
"Verres de repos ""Free Form Full Back Side""",D,,1.74,MR174,2399,ADN OPTIS,
"Progressif tous usages ""free-form full back side""","Premier 1,67",,1.67,MR10,2399,ADN OPTIS,
Verres progressifs,ETEREA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,1.6,ORG,70,DIVEL FRANCE,datalake/staging/media\web_1807-nas-rond.tif.jpg
Uncategorized,Camber Freestyle,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Camber Freestyle,,1.59,POLY,1488,HEPHILENS,
Uncategorized,Innovator Individual,,1.53,TVX,1488,HEPHILENS,
Uncategorized,Innovator Individual,,1.5 - 1.56 - 1.6 - 1.67 - 1.74,ORG,1488,HEPHILENS,
Uncategorized,Innovator Individual,,1.59,POLY,1488,HEPHILENS,
